,daily_pnl,daily_pnl,pnl_volatility
,std,skew,mean
sentiment_binary,,,
0.0,31224.1488,9.6203,320.7896
1.0,17447.8636,4.7501,207.5776
2.0,29260.948,5.911,254.5242
